NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
